"Medicare Advantage Monthly Capitation Rates for 2026 Local EGWP Plans
Bid to Benchmark Ratios ",,,,,,,
Quartile,Ratio,,,,,,
0.9500,78.8%,,,,,,
1.0000,77.7%,,,,,,
1.0750,77.2%,,,,,,
1.1500,77.6%,,,,,,
Code,State,County,Part A/B Rate – 4.5 and  5 stars,Part A/B Rate – 4 stars,Part A/B Rate – 3.5 stars,Part A/B Rate –  <3.5 stars,Part A/B Rate – low enrollment / new contract under new parent org
03120,AZ,YAVAPAI,1180.51,1166.42,1135.96,1094.80,1166.42
03130,AZ,YUMA,1167.64,1153.71,1098.77,1058.96,1137.23
04000,AR,ARKANSAS,1164.71,1150.46,1142.55,1100.08,1150.46
04010,AR,ASHLEY,1205.52,1191.13,1178.26,1135.57,1191.13
04020,AR,BAXTER,1163.21,1148.97,1097.90,1057.10,1133.65
04030,AR,BENTON,1275.11,1259.83,1159.05,1116.87,1229.60
04040,AR,BOONE,1159.70,1145.80,1098.07,1058.11,1131.48
04050,AR,BRADLEY,1214.96,1200.46,1143.30,1101.87,1183.31
04060,AR,CALHOUN,1269.75,1254.60,1254.60,1209.14,1254.60
04070,AR,CARROLL,1172.08,1158.03,1109.79,1069.41,1143.56
04080,AR,CHICOT,1275.59,1261.13,1198.07,1156.86,1242.21
04090,AR,CLARK,1169.42,1155.11,1125.72,1083.88,1155.11
04100,AR,CLAY,1264.05,1249.72,1187.23,1146.39,1230.97
04110,AR,CLEBURNE,1163.22,1149.28,1147.75,1105.98,1149.28
04120,AR,CLEVELAND,1221.71,1207.86,1147.46,1107.99,1189.74
04130,AR,COLUMBIA,1164.01,1149.77,1149.77,1107.03,1149.77
04140,AR,CONWAY,1169.87,1155.55,1139.04,1096.71,1155.55
04150,AR,CRAIGHEAD,1168.96,1155.01,1126.52,1085.70,1155.01
04160,AR,CRAWFORD,1199.22,1184.85,1090.06,1050.39,1156.41
04170,AR,CRITTENDEN,1205.93,1191.17,1138.24,1095.93,1175.29
04180,AR,CROSS,1166.65,1152.73,1099.24,1059.41,1137.72
04190,AR,DALLAS,1277.95,1263.46,1201.83,1160.49,1244.98
04200,AR,DESHA,1310.48,1295.62,1230.84,1188.50,1276.19
04210,AR,DREW,1208.16,1193.74,1137.91,1096.68,1177.74
04220,AR,FAULKNER,1197.10,1182.45,1129.90,1087.90,1166.68
04230,AR,FRANKLIN,1225.58,1210.90,1160.44,1118.21,1195.76
04240,AR,FULTON,1169.26,1154.95,1127.64,1085.73,1154.95
04250,AR,GARLAND,1174.06,1160.05,1127.41,1086.56,1160.05
04260,AR,GRANT,1224.46,1209.48,1155.72,1112.76,1193.35
04270,AR,GREENE,1169.94,1155.97,1115.30,1074.89,1154.34
04280,AR,HEMPSTEAD,1195.01,1180.75,1124.52,1083.78,1163.89
04290,AR,HOT SPRING,1106.27,1092.73,1092.73,1052.12,1092.73
04300,AR,HOWARD,1200.96,1186.63,1130.13,1089.18,1169.69
04310,AR,INDEPENDENCE,1079.07,1065.86,1065.86,1026.25,1065.86
04320,AR,IZARD,1145.89,1132.21,1078.30,1039.23,1116.04
04330,AR,JACKSON,1153.10,1139.34,1085.09,1045.77,1123.07
04340,AR,JEFFERSON,1159.48,1145.29,1145.29,1102.72,1145.29
04350,AR,JOHNSON,1144.88,1131.16,1084.03,1044.58,1117.02
04360,AR,LAFAYETTE,1189.72,1175.52,1135.51,1094.37,1175.26
04370,AR,LAWRENCE,1138.85,1125.26,1117.52,1077.03,1125.26
04380,AR,LEE,1162.07,1148.14,1139.65,1098.18,1148.14
04390,AR,LINCOLN,1176.38,1162.35,1151.95,1110.21,1162.35
04400,AR,LITTLE RIVER,1231.49,1216.79,1158.85,1116.87,1199.41
04410,AR,LOGAN,1076.58,1063.68,1063.68,1024.97,1063.68
04420,AR,LONOKE,1215.46,1200.59,1147.23,1104.58,1184.58
04430,AR,MADISON,1113.48,1100.13,1054.29,1015.93,1086.38
04440,AR,MARION,1174.37,1160.29,1142.90,1101.31,1160.29
04450,AR,MILLER,1182.54,1168.43,1112.80,1072.48,1151.74
04460,AR,MISSISSIPPI,1167.11,1153.18,1104.40,1064.39,1143.06
04470,AR,MONROE,1161.77,1147.85,1120.54,1079.76,1147.85
04480,AR,MONTGOMERY,1170.06,1155.74,1155.74,1112.78,1155.74
04490,AR,NEVADA,1156.24,1142.44,1088.04,1048.62,1126.12
04500,AR,NEWTON,1141.15,1127.48,1080.50,1041.18,1113.39
04510,AR,OUACHITA,1170.21,1155.89,1131.02,1088.98,1155.89
04520,AR,PERRY,1177.91,1163.49,1111.78,1070.46,1147.98
04530,AR,PHILLIPS,1163.12,1149.18,1117.33,1076.67,1149.18
04540,AR,PIKE,1180.48,1166.39,1134.15,1093.06,1166.39
04550,AR,POINSETT,1169.81,1155.85,1114.50,1074.12,1153.51
04560,AR,POLK,1171.87,1157.53,1137.51,1095.23,1157.53
04570,AR,POPE,1169.94,1155.62,1116.76,1075.25,1153.11
04580,AR,PRAIRIE,1152.68,1138.58,1134.77,1092.59,1138.58
04590,AR,PULASKI,1198.96,1184.29,1131.66,1089.59,1168.50
04600,AR,RANDOLPH,1199.41,1185.82,1126.52,1087.78,1168.03
04610,AR,ST. FRANCIS,1158.68,1144.50,1144.50,1101.96,1144.50
04620,AR,SALINE,1162.71,1148.84,1094.13,1054.49,1132.43
04630,AR,SCOTT,1126.77,1113.27,1066.87,1028.05,1099.35
04640,AR,SEARCY,1173.06,1159.00,1154.37,1112.36,1159.00
04650,AR,SEBASTIAN,1215.07,1200.51,1150.49,1108.63,1185.50
04660,AR,SEVIER,1194.02,1179.40,1126.99,1085.10,1163.68
04670,AR,SHARP,1161.74,1147.88,1107.42,1067.30,1146.18
04680,AR,STONE,1035.64,1023.23,1023.23,986.00,1023.23
04690,AR,UNION,1169.27,1154.96,1154.96,1112.04,1154.96
04700,AR,VAN BUREN,1169.24,1154.93,1122.04,1080.34,1154.93
04710,AR,WASHINGTON,1180.84,1166.69,1118.08,1077.39,1152.11
04720,AR,WHITE,1153.57,1139.80,1120.81,1080.20,1139.80
04730,AR,WOODRUFF,1212.45,1197.98,1140.94,1099.60,1180.87
04740,AR,YELL,1167.18,1153.25,1098.34,1058.54,1136.78
05000,CA,ALAMEDA,1220.18,1206.35,1146.03,1106.61,1188.25
05010,CA,ALPINE,1124.26,1110.84,1056.66,1018.38,1094.58
05020,CA,AMADOR,1302.33,1287.57,1223.19,1181.11,1268.26
05030,CA,BUTTE,1317.00,1302.08,1236.97,1194.42,1282.54
05040,CA,CALAVERAS,1291.71,1277.06,1213.21,1171.48,1257.91
05050,CA,COLUSA,1231.24,1217.28,1183.74,1143.02,1217.28
05060,CA,CONTRA COSTA,1266.35,1251.99,1189.40,1148.49,1233.21
05070,CA,DEL NORTE,1194.05,1179.80,1123.62,1082.91,1162.95
05080,CA,EL DORADO,1230.09,1216.14,1155.33,1115.59,1197.90
05090,CA,FRESNO,1240.29,1226.23,1166.41,1126.29,1208.28
05100,CA,GLENN,1321.85,1306.86,1241.52,1198.81,1287.25
05110,CA,HUMBOLDT,1175.83,1161.80,1108.39,1068.23,1145.78
05120,CA,IMPERIAL,1185.32,1171.18,1171.18,1128.75,1171.18
05130,CA,INYO,1544.14,1526.63,1450.30,1400.41,1503.73
05140,CA,KERN,1238.96,1224.92,1165.17,1125.09,1207.00
05150,CA,KINGS,1208.59,1194.17,1157.42,1115.49,1194.17
05160,CA,LAKE,1341.55,1326.34,1260.02,1216.68,1306.44
05170,CA,LASSEN,1254.70,1240.48,1179.97,1139.39,1222.33
05200,CA,LOS ANGELES,1385.62,1369.91,1301.42,1256.65,1349.36
05210,CA,LOS ANGELES,1385.62,1369.91,1301.42,1256.65,1349.36
05300,CA,MADERA,1250.81,1235.89,1179.06,1136.34,1218.84
05310,CA,MARIN,1291.25,1276.61,1212.78,1171.07,1257.46
05320,CA,MARIPOSA,1320.70,1305.73,1240.44,1197.77,1286.14
05330,CA,MENDOCINO,1294.19,1279.52,1215.54,1173.73,1260.33
05340,CA,MERCED,1206.77,1192.37,1150.90,1109.21,1191.19
05350,CA,MODOC,1394.79,1378.98,1310.04,1264.97,1358.30
05360,CA,MONO,1466.71,1450.09,1377.58,1330.20,1428.33
05370,CA,MONTEREY,1245.18,1231.06,1169.51,1129.29,1212.60
05380,CA,NAPA,1219.36,1205.53,1145.26,1105.87,1187.45
05390,CA,NEVADA,1209.96,1195.52,1138.59,1097.34,1178.45
05400,CA,ORANGE,1280.12,1265.61,1203.87,1162.46,1247.09
05410,CA,PLACER,1225.53,1211.63,1152.54,1112.89,1193.91
05420,CA,PLUMAS,1309.06,1294.22,1229.51,1187.22,1274.80
05430,CA,RIVERSIDE,1277.14,1262.66,1201.06,1159.75,1244.18
05440,CA,SACRAMENTO,1169.84,1155.88,1100.84,1060.95,1139.37
05450,CA,SAN BENITO,1370.43,1354.90,1287.15,1242.88,1334.58
05460,CA,SAN BERNARDINO,1208.38,1194.68,1136.40,1097.31,1177.20
05470,CA,SAN DIEGO,1272.76,1258.34,1196.96,1155.79,1239.92
05480,CA,SAN FRANCISCO,1192.82,1178.58,1122.46,1081.79,1161.75
05490,CA,SAN JOAQUIN,1226.03,1211.40,1153.72,1111.92,1194.09
05500,CA,SAN LUIS OBISPO,1208.10,1193.69,1162.05,1119.95,1193.69
05510,CA,SAN MATEO,1216.98,1203.18,1143.02,1103.70,1185.13
05520,CA,SANTA BARBARA,1217.89,1203.36,1146.05,1104.53,1186.16
05530,CA,SANTA CLARA,1238.46,1224.42,1163.20,1123.19,1206.05
05540,CA,SANTA CRUZ,1218.04,1204.23,1144.02,1104.67,1186.17
05550,CA,SHASTA,1248.92,1234.77,1174.54,1134.14,1216.70
05560,CA,SIERRA,1241.55,1227.47,1166.10,1125.99,1209.06
05570,CA,SISKIYOU,1207.29,1192.88,1136.08,1094.92,1175.84
05580,CA,SOLANO,1231.05,1217.10,1156.24,1116.47,1198.84
05590,CA,SONOMA,1265.46,1251.12,1188.56,1147.67,1232.35
05600,CA,STANISLAUS,1224.09,1209.48,1151.89,1110.16,1192.20
05610,CA,SUTTER,1253.27,1239.06,1178.61,1138.07,1220.93
05620,CA,TEHAMA,1220.26,1206.43,1147.58,1108.10,1188.77
05630,CA,TRINITY,1246.98,1232.84,1171.20,1130.91,1214.35
05640,CA,TULARE,1241.05,1226.24,1169.87,1127.48,1209.33
05650,CA,TUOLUMNE,1314.35,1299.45,1234.47,1192.01,1279.95
05660,CA,VENTURA,1310.67,1295.81,1231.02,1188.67,1276.37
05670,CA,YOLO,1270.58,1255.03,1148.22,1105.54,1222.98
05680,CA,YUBA,1243.47,1229.37,1167.90,1127.73,1210.93
06000,CO,ADAMS,1238.30,1223.15,1122.27,1080.56,1192.89
06010,CO,ALAMOSA,1169.67,1155.36,1117.47,1075.93,1153.85
06020,CO,ARAPAHOE,1222.32,1207.73,1097.93,1058.15,1174.78
06030,CO,ARCHULETA,1163.09,1149.21,1094.48,1054.83,1132.79
06040,CO,BACA,1433.46,1417.21,1346.35,1300.04,1395.96
06050,CO,BENT,1159.16,1144.97,1144.97,1102.41,1144.97
06060,CO,BOULDER,1205.04,1190.66,1082.42,1043.21,1158.20
06070,CO,CHAFFEE,1225.98,1211.35,1153.67,1111.87,1194.05
06080,CO,CHEYENNE,1522.82,1505.55,1430.28,1381.08,1482.97
06090,CO,CLEAR CREEK,1157.52,1143.35,1090.79,1050.25,1127.58
06100,CO,CONEJOS,1155.64,1141.49,1089.01,1048.54,1125.75
06110,CO,COSTILLA,1168.59,1154.59,1154.59,1112.57,1154.59
06120,CO,CROWLEY,1148.12,1134.07,1134.07,1091.92,1134.07
06130,CO,CUSTER,1161.56,1147.64,1113.82,1073.29,1147.64
06140,CO,DELTA,1139.04,1125.10,1075.10,1035.14,1110.10
06150,CO,DENVER,1259.86,1244.44,1138.53,1096.21,1212.67
06160,CO,DOLORES,1277.81,1263.33,1200.16,1158.87,1244.38
06170,CO,DOUGLAS,1232.80,1218.09,1160.09,1118.06,1200.69
06180,CO,EAGLE,1334.34,1319.21,1253.25,1210.15,1299.42
06190,CO,ELBERT,1240.63,1225.83,1114.39,1074.01,1192.40
06200,CO,EL PASO,1185.16,1170.65,1118.63,1077.05,1155.05
06210,CO,FREMONT,1111.39,1098.07,1052.31,1014.02,1084.34
06220,CO,GARFIELD,1240.77,1226.70,1165.37,1125.28,1208.30
06230,CO,GILPIN,1193.30,1179.06,1071.87,1033.04,1146.90
06240,CO,GRAND,1302.65,1287.88,1223.49,1181.41,1268.56
06250,CO,GUNNISON,1183.47,1169.34,1120.82,1080.21,1160.04
06260,CO,HINSDALE,1222.83,1208.97,1148.52,1109.01,1190.83
06270,CO,HUERFANO,1206.02,1191.26,1140.02,1097.65,1175.89
