Medicare Advantage Monthly Capitation Rates for 2026 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2026 Rate,Parts A&B 3.5% Bonus 2026 Rate,Parts A&B 0% Bonus 2026 Rate,Parts A&B ESRD 2026 Rate
27330,MONTANA,PARK,"1,300.38","1,300.38","1,278.45","8,599.29"
27340,MONTANA,PETROLEUM,"1,251.91","1,251.91","1,233.80","8,599.29"
27350,MONTANA,PHILLIPS,"1,340.14","1,320.04","1,273.13","8,599.29"
27360,MONTANA,PONDERA,"1,271.21","1,253.05","1,210.68","8,599.29"
27370,MONTANA,POWDER RIVER,"1,255.33","1,255.33","1,229.91","8,599.29"
27380,MONTANA,POWELL,"1,355.17","1,334.84","1,287.41","8,599.29"
27390,MONTANA,PRAIRIE,"1,290.79","1,290.79","1,290.79","8,599.29"
27400,MONTANA,RAVALLI,"1,251.58","1,251.58","1,216.11","8,599.29"
27410,MONTANA,RICHLAND,"1,255.23","1,255.23","1,237.30","8,599.29"
27420,MONTANA,ROOSEVELT,"1,432.91","1,411.42","1,361.26","8,599.29"
27430,MONTANA,ROSEBUD,"1,208.25","1,208.25","1,208.25","8,599.29"
27440,MONTANA,SANDERS,"1,246.30","1,230.22","1,192.70","8,599.29"
27450,MONTANA,SHERIDAN,"1,495.63","1,473.20","1,420.85","8,599.29"
27460,MONTANA,SILVER BOW,"1,258.17","1,256.18","1,216.57","8,599.29"
27470,MONTANA,STILLWATER,"1,250.92","1,233.05","1,191.35","8,599.29"
27480,MONTANA,SWEET GRASS,"1,337.38","1,317.32","1,270.51","8,599.29"
27490,MONTANA,TETON,"1,276.31","1,276.31","1,276.31","8,599.29"
27500,MONTANA,TOOLE,"1,246.56","1,227.86","1,184.23","8,599.29"
27510,MONTANA,TREASURE,"1,247.34","1,247.34","1,231.59","8,599.29"
27520,MONTANA,VALLEY,"1,330.90","1,310.94","1,264.36","8,599.29"
27530,MONTANA,WHEATLAND,"1,377.37","1,356.71","1,308.50","8,599.29"
27540,MONTANA,WIBAUX,"1,229.08","1,211.52","1,170.55","8,599.29"
27550,MONTANA,YELLOWSTONE,"1,249.56","1,249.56","1,215.24","8,599.29"
28000,NEBRASKA,ADAMS,"1,257.79","1,244.73","1,205.48","9,215.93"
28010,NEBRASKA,ANTELOPE,"1,485.51","1,463.23","1,411.23","9,215.93"
28020,NEBRASKA,ARTHUR,"1,295.68","1,276.24","1,230.90","9,215.93"
28030,NEBRASKA,BANNER,"1,392.25","1,371.37","1,322.64","9,215.93"
28040,NEBRASKA,BLAINE,"1,383.64","1,362.89","1,314.46","9,215.93"
28050,NEBRASKA,BOONE,"1,538.12","1,515.05","1,461.21","9,215.93"
28060,NEBRASKA,BOX BUTTE,"1,529.34","1,506.40","1,452.87","9,215.93"
28070,NEBRASKA,BOYD,"1,499.16","1,476.67","1,424.20","9,215.93"
28080,NEBRASKA,BROWN,"1,621.12","1,596.80","1,540.06","9,215.93"
28090,NEBRASKA,BUFFALO,"1,258.04","1,258.04","1,249.17","9,215.93"
28100,NEBRASKA,BURT,"1,369.63","1,349.09","1,301.15","9,215.93"
28110,NEBRASKA,BUTLER,"1,334.55","1,314.53","1,267.82","9,215.93"
28120,NEBRASKA,CASS,"1,273.16","1,254.97","1,212.53","9,215.93"
28130,NEBRASKA,CEDAR,"1,308.32","1,288.70","1,242.90","9,215.93"
28140,NEBRASKA,CHASE,"1,581.87","1,558.14","1,502.78","9,215.93"
28150,NEBRASKA,CHERRY,"1,440.80","1,419.19","1,368.76","9,215.93"
28160,NEBRASKA,CHEYENNE,"1,585.74","1,561.95","1,506.45","9,215.93"
28170,NEBRASKA,CLAY,"1,258.69","1,258.69","1,243.27","9,215.93"
28180,NEBRASKA,COLFAX,"1,313.13","1,294.37","1,250.60","9,215.93"
28190,NEBRASKA,CUMING,"1,550.70","1,527.44","1,473.17","9,215.93"
28200,NEBRASKA,CUSTER,"1,455.57","1,433.74","1,382.79","9,215.93"
28210,NEBRASKA,DAKOTA,"1,254.10","1,252.49","1,215.49","9,215.93"
28220,NEBRASKA,DAWES,"1,361.09","1,340.67","1,293.04","9,215.93"
28230,NEBRASKA,DAWSON,"1,441.44","1,419.82","1,369.37","9,215.93"
28240,NEBRASKA,DEUEL,"1,400.39","1,379.38","1,330.37","9,215.93"
28250,NEBRASKA,DIXON,"1,253.13","1,253.13","1,218.31","9,215.93"
28260,NEBRASKA,DODGE,"1,250.47","1,250.47","1,230.70","9,215.93"
28270,NEBRASKA,DOUGLAS,"1,253.10","1,236.40","1,197.41","9,215.93"
28280,NEBRASKA,DUNDY,"1,803.02","1,775.97","1,712.87","9,215.93"
28290,NEBRASKA,FILLMORE,"1,435.08","1,413.55","1,363.33","9,215.93"
28300,NEBRASKA,FRANKLIN,"1,507.46","1,484.85","1,432.09","9,215.93"
28310,NEBRASKA,FRONTIER,"1,303.48","1,283.93","1,238.31","9,215.93"
28320,NEBRASKA,FURNAS,"1,627.19","1,602.78","1,545.83","9,215.93"
28330,NEBRASKA,GAGE,"1,243.86","1,235.99","1,194.19","9,215.93"
28340,NEBRASKA,GARDEN,"1,494.20","1,471.79","1,419.49","9,215.93"
28350,NEBRASKA,GARFIELD,"1,370.45","1,349.89","1,301.93","9,215.93"
28360,NEBRASKA,GOSPER,"1,371.06","1,350.49","1,302.51","9,215.93"
28370,NEBRASKA,GRANT,"1,364.87","1,344.40","1,296.63","9,215.93"
28380,NEBRASKA,GREELEY,"1,419.87","1,398.57","1,348.88","9,215.93"
28390,NEBRASKA,HALL,"1,255.24","1,247.52","1,208.18","9,215.93"
28400,NEBRASKA,HAMILTON,"1,277.96","1,258.79","1,214.06","9,215.93"
28410,NEBRASKA,HARLAN,"1,707.80","1,682.18","1,622.41","9,215.93"
28420,NEBRASKA,HAYES,"1,306.43","1,286.83","1,241.11","9,215.93"
28430,NEBRASKA,HITCHCOCK,"1,421.28","1,399.96","1,350.22","9,215.93"
28440,NEBRASKA,HOLT,"1,492.43","1,470.04","1,417.81","9,215.93"
28450,NEBRASKA,HOOKER,"1,302.47","1,283.87","1,240.45","9,215.93"
28460,NEBRASKA,HOWARD,"1,364.13","1,343.67","1,295.92","9,215.93"
28470,NEBRASKA,JEFFERSON,"1,329.65","1,309.71","1,263.17","9,215.93"
28480,NEBRASKA,JOHNSON,"1,608.52","1,584.39","1,528.09","9,215.93"
28490,NEBRASKA,KEARNEY,"1,456.56","1,434.71","1,383.73","9,215.93"
28500,NEBRASKA,KEITH,"1,371.14","1,350.57","1,302.58","9,215.93"
28510,NEBRASKA,KEYA PAHA,"1,355.80","1,335.46","1,288.01","9,215.93"
28520,NEBRASKA,KIMBALL,"1,485.45","1,463.17","1,411.18","9,215.93"
28530,NEBRASKA,KNOX,"1,291.81","1,272.43","1,227.22","9,215.93"
28540,NEBRASKA,LANCASTER,"1,255.13","1,238.39","1,199.35","9,215.93"
28550,NEBRASKA,LINCOLN,"1,263.18","1,263.18","1,243.85","9,215.93"
28560,NEBRASKA,LOGAN,"1,290.26","1,270.91","1,225.75","9,215.93"
28570,NEBRASKA,LOUP,"1,385.42","1,364.64","1,316.15","9,215.93"
28580,NEBRASKA,MCPHERSON,"1,362.54","1,342.10","1,294.41","9,215.93"
28590,NEBRASKA,MADISON,"1,292.20","1,273.74","1,230.67","9,215.93"
28600,NEBRASKA,MERRICK,"1,277.40","1,277.40","1,276.34","9,215.93"
28610,NEBRASKA,MORRILL,"1,493.39","1,470.99","1,418.72","9,215.93"
28620,NEBRASKA,NANCE,"1,334.46","1,314.44","1,267.74","9,215.93"
28630,NEBRASKA,NEMAHA,"1,476.75","1,454.60","1,402.91","9,215.93"
28640,NEBRASKA,NUCKOLLS,"1,490.85","1,468.49","1,416.31","9,215.93"
28650,NEBRASKA,OTOE,"1,506.44","1,483.84","1,431.12","9,215.93"
28660,NEBRASKA,PAWNEE,"1,407.37","1,386.26","1,337.00","9,215.93"
28670,NEBRASKA,PERKINS,"1,450.51","1,428.75","1,377.98","9,215.93"
28680,NEBRASKA,PHELPS,"1,442.83","1,421.19","1,370.69","9,215.93"
28690,NEBRASKA,PIERCE,"1,392.78","1,371.89","1,323.14","9,215.93"
28700,NEBRASKA,PLATTE,"1,254.46","1,254.46","1,230.42","9,215.93"
28710,NEBRASKA,POLK,"1,444.87","1,423.20","1,372.63","9,215.93"
28720,NEBRASKA,RED WILLOW,"1,330.70","1,310.74","1,264.17","9,215.93"
28730,NEBRASKA,RICHARDSON,"1,487.67","1,465.35","1,413.29","9,215.93"
28740,NEBRASKA,ROCK,"1,558.40","1,535.02","1,480.48","9,215.93"
28750,NEBRASKA,SALINE,"1,305.41","1,285.83","1,240.14","9,215.93"
28760,NEBRASKA,SARPY,"1,260.43","1,243.62","1,204.41","9,215.93"
28770,NEBRASKA,SAUNDERS,"1,350.25","1,330.00","1,282.74","9,215.93"
28780,NEBRASKA,SCOTTS BLUFF,"1,257.37","1,257.37","1,216.31","9,215.93"
28790,NEBRASKA,SEWARD,"1,390.42","1,369.56","1,320.90","9,215.93"
28800,NEBRASKA,SHERIDAN,"1,477.40","1,455.24","1,403.53","9,215.93"
28810,NEBRASKA,SHERMAN,"1,280.53","1,261.32","1,216.50","9,215.93"
28820,NEBRASKA,SIOUX,"1,455.16","1,433.33","1,382.40","9,215.93"
28830,NEBRASKA,STANTON,"1,314.84","1,296.06","1,252.23","9,215.93"
28840,NEBRASKA,THAYER,"1,678.81","1,653.63","1,594.87","9,215.93"
28850,NEBRASKA,THOMAS,"1,305.35","1,285.77","1,240.08","9,215.93"
28860,NEBRASKA,THURSTON,"1,484.62","1,462.35","1,410.39","9,215.93"
28870,NEBRASKA,VALLEY,"1,528.00","1,505.08","1,451.60","9,215.93"
28880,NEBRASKA,WASHINGTON,"1,310.47","1,291.75","1,248.07","9,215.93"
28890,NEBRASKA,WAYNE,"1,405.11","1,384.03","1,334.85","9,215.93"
28900,NEBRASKA,WEBSTER,"1,444.14","1,422.48","1,371.93","9,215.93"
28910,NEBRASKA,WHEELER,"1,425.46","1,404.08","1,354.19","9,215.93"
28920,NEBRASKA,YORK,"1,271.01","1,271.01","1,229.79","9,215.93"
29000,NEVADA,CHURCHILL,"1,325.95","1,308.84","1,268.92","10,742.16"
29010,NEVADA,CLARK,"1,443.86","1,422.20","1,371.67","10,742.16"
29020,NEVADA,DOUGLAS,"1,249.86","1,232.00","1,190.34","10,742.16"
29030,NEVADA,ELKO,"1,196.59","1,185.10","1,145.02","10,742.16"
29040,NEVADA,ESMERALDA,"1,502.85","1,480.31","1,427.71","10,742.16"
29050,NEVADA,EUREKA,"1,233.20","1,214.70","1,171.54","10,742.16"
29060,NEVADA,HUMBOLDT,"1,316.78","1,297.03","1,250.94","10,742.16"
29070,NEVADA,LANDER,"1,287.47","1,268.16","1,223.10","10,742.16"
29080,NEVADA,LINCOLN,"1,412.71","1,391.52","1,342.07","10,742.16"
29090,NEVADA,LYON,"1,220.78","1,212.79","1,171.78","10,742.16"
29100,NEVADA,MINERAL,"1,273.73","1,255.54","1,213.08","10,742.16"
29110,NEVADA,NYE,"1,348.76","1,329.49","1,284.53","10,742.16"
29120,NEVADA,CARSON CITY,"1,219.25","1,201.83","1,161.19","10,742.16"
29130,NEVADA,PERSHING,"1,366.54","1,347.02","1,301.47","10,742.16"
29140,NEVADA,STOREY,"1,255.87","1,238.54","1,198.13","10,742.16"
29150,NEVADA,WASHOE,"1,334.15","1,300.09","1,220.61","10,742.16"
29160,NEVADA,WHITE PINE,"1,282.24","1,263.01","1,218.13","10,742.16"
30000,NEW HAMPSHIRE,BELKNAP,"1,278.23","1,259.97","1,217.36","9,869.16"
30010,NEW HAMPSHIRE,CARROLL,"1,294.64","1,276.14","1,232.99","9,869.16"
30020,NEW HAMPSHIRE,CHESHIRE,"1,238.33","1,238.33","1,201.31","9,869.16"
30030,NEW HAMPSHIRE,COOS,"1,306.67","1,287.07","1,241.34","9,869.16"
30040,NEW HAMPSHIRE,GRAFTON,"1,224.96","1,207.46","1,166.63","9,869.16"
30050,NEW HAMPSHIRE,HILLSBOROUGH,"1,246.49","1,229.30","1,189.18","9,869.16"
30060,NEW HAMPSHIRE,MERRIMACK,"1,236.45","1,218.78","1,177.57","9,869.16"
30070,NEW HAMPSHIRE,ROCKINGHAM,"1,246.28","1,228.47","1,186.93","9,869.16"
30080,NEW HAMPSHIRE,STRAFFORD,"1,293.59","1,276.34","1,236.10","9,869.16"
30090,NEW HAMPSHIRE,SULLIVAN,"1,308.31","1,289.16","1,244.49","9,869.16"
31000,NEW JERSEY,ATLANTIC,"1,302.16","1,283.10","1,238.64","11,299.23"
31100,NEW JERSEY,BERGEN,"1,341.72","1,321.59","1,274.63","11,299.23"
31150,NEW JERSEY,BURLINGTON,"1,333.13","1,313.62","1,268.09","11,299.23"
31160,NEW JERSEY,CAMDEN,"1,331.45","1,311.97","1,266.51","11,299.23"
31180,NEW JERSEY,CAPE MAY,"1,318.86","1,300.02","1,256.06","11,299.23"
31190,NEW JERSEY,CUMBERLAND,"1,311.95","1,292.27","1,246.35","11,299.23"
31200,NEW JERSEY,ESSEX,"1,330.85","1,310.89","1,264.31","11,299.23"
31220,NEW JERSEY,GLOUCESTER,"1,315.54","1,295.81","1,249.76","11,299.23"
31230,NEW JERSEY,HUDSON,"1,328.75","1,308.82","1,262.31","11,299.23"
31250,NEW JERSEY,HUNTERDON,"1,307.47","1,288.79","1,245.21","11,299.23"
31260,NEW JERSEY,MERCER,"1,313.47","1,294.70","1,250.92","11,299.23"
31270,NEW JERSEY,MIDDLESEX,"1,315.31","1,296.52","1,252.68","11,299.23"
31290,NEW JERSEY,MONMOUTH,"1,332.68","1,312.69","1,266.05","11,299.23"
31300,NEW JERSEY,MORRIS,"1,285.93","1,266.64","1,221.63","11,299.23"
31310,NEW JERSEY,OCEAN,"1,354.09","1,333.78","1,286.39","11,299.23"
31320,NEW JERSEY,PASSAIC,"1,324.10","1,304.24","1,257.90","11,299.23"
31340,NEW JERSEY,SALEM,"1,317.77","1,298.00","1,251.88","11,299.23"
31350,NEW JERSEY,SOMERSET,"1,266.32","1,248.23","1,206.02","11,299.23"
31360,NEW JERSEY,SUSSEX,"1,289.26","1,269.92","1,224.80","11,299.23"
31370,NEW JERSEY,UNION,"1,216.94","1,199.55","1,158.99","11,299.23"
31390,NEW JERSEY,WARREN,"1,307.95","1,289.27","1,245.67","11,299.23"
32000,NEW MEXICO,BERNALILLO,"1,242.11","1,212.30","1,142.74","8,884.83"
32010,NEW MEXICO,CATRON,"1,231.18","1,215.79","1,179.88","8,884.83"
32020,NEW MEXICO,CHAVES,"1,252.89","1,243.14","1,203.95","8,884.83"
32025,NEW MEXICO,CIBOLA,"1,253.44","1,237.77","1,201.21","8,884.83"
32030,NEW MEXICO,COLFAX,"1,216.99","1,201.78","1,166.28","8,884.83"
32040,NEW MEXICO,CURRY,"1,145.57","1,145.57","1,145.57","8,884.83"
32050,NEW MEXICO,DEBACA,"1,233.67","1,217.75","1,180.61","8,884.83"
32060,NEW MEXICO,DONA ANA,"1,244.98","1,244.98","1,223.69","8,884.83"
32070,NEW MEXICO,EDDY,"1,249.40","1,249.40","1,212.56","8,884.83"
32080,NEW MEXICO,GRANT,"1,243.92","1,228.37","1,192.09","8,884.83"
32090,NEW MEXICO,GUADALUPE,"1,257.01","1,252.36","1,215.37","8,884.83"
32100,NEW MEXICO,HARDING,"1,250.31","1,248.15","1,208.79","8,884.83"
32110,NEW MEXICO,HIDALGO,"1,243.82","1,240.27","1,203.64","8,884.83"
32120,NEW MEXICO,LEA,"1,261.61","1,243.58","1,201.53","8,884.83"
32130,NEW MEXICO,LINCOLN,"1,247.70","1,247.70","1,247.70","8,884.83"
32131,NEW MEXICO,LOS ALAMOS,"1,182.70","1,167.91","1,133.42","8,884.83"
32140,NEW MEXICO,LUNA,"1,239.32","1,223.83","1,187.69","8,884.83"
32150,NEW MEXICO,MCKINLEY,"1,243.57","1,243.57","1,216.34","8,884.83"
32160,NEW MEXICO,MORA,"1,098.76","1,085.02","1,052.97","8,884.83"
32170,NEW MEXICO,OTERO,"1,253.47","1,253.47","1,219.40","8,884.83"
32180,NEW MEXICO,QUAY,"1,275.64","1,258.63","1,218.94","8,884.83"
32190,NEW MEXICO,RIO ARRIBA,"1,168.19","1,153.59","1,119.51","8,884.83"
32200,NEW MEXICO,ROOSEVELT,"1,214.94","1,203.73","1,163.02","8,884.83"
32210,NEW MEXICO,SANDOVAL,"1,269.61","1,239.14","1,168.04","8,884.83"
32220,NEW MEXICO,SAN JUAN,"1,264.94","1,246.86","1,204.70","8,884.83"
32230,NEW MEXICO,SAN MIGUEL,"1,113.46","1,099.54","1,067.06","8,884.83"
32240,NEW MEXICO,SANTA FE,"1,207.76","1,192.67","1,157.44","8,884.83"
32250,NEW MEXICO,SIERRA,"1,227.99","1,210.44","1,169.51","8,884.83"
32260,NEW MEXICO,SOCORRO,"1,142.58","1,128.30","1,094.97","8,884.83"
32270,NEW MEXICO,TAOS,"1,203.91","1,188.86","1,153.75","8,884.83"
32280,NEW MEXICO,TORRANCE,"1,194.53","1,165.86","1,098.96","8,884.83"
32290,NEW MEXICO,UNION,"1,350.00","1,329.75","1,282.50","8,884.83"
32300,NEW MEXICO,VALENCIA,"1,182.15","1,153.78","1,087.58","8,884.83"
33000,NEW YORK,ALBANY,"1,357.59","1,357.59","1,281.51","11,414.68"
33010,NEW YORK,ALLEGANY,"1,224.82","1,224.82","1,224.82","11,414.68"
33020,NEW YORK,BRONX,"1,504.24","1,481.68","1,429.03","11,414.68"
33030,NEW YORK,BROOME,"1,355.39","1,337.90","1,297.10","11,414.68"
33040,NEW YORK,CATTARAUGUS,"1,237.91","1,237.91","1,212.59","11,414.68"
33050,NEW YORK,CAYUGA,"1,289.47","1,271.68","1,230.18","11,414.68"
33060,NEW YORK,CHAUTAUQUA,"1,241.80","1,241.80","1,224.11","11,414.68"
33070,NEW YORK,CHEMUNG,"1,205.52","1,205.52","1,205.52","11,414.68"
33080,NEW YORK,CHENANGO,"1,228.53","1,228.53","1,228.53","11,414.68"
33090,NEW YORK,CLINTON,"1,240.32","1,240.32","1,240.32","11,414.68"
33200,NEW YORK,COLUMBIA,"1,234.20","1,234.20","1,234.20","11,414.68"
33210,NEW YORK,CORTLAND,"1,233.54","1,233.54","1,233.54","11,414.68"
33220,NEW YORK,DELAWARE,"1,319.80","1,319.80","1,279.78","11,414.68"
33230,NEW YORK,DUTCHESS,"1,305.59","1,286.01","1,240.31","11,414.68"
33240,NEW YORK,ERIE,"1,343.29","1,311.05","1,235.82","11,414.68"
33260,NEW YORK,ESSEX,"1,255.49","1,255.49","1,241.06","11,414.68"
33270,NEW YORK,FRANKLIN,"1,241.21","1,241.21","1,218.00","11,414.68"
33280,NEW YORK,FULTON,"1,237.40","1,237.40","1,237.40","11,414.68"
33290,NEW YORK,GENESEE,"1,342.86","1,333.33","1,254.40","11,414.68"
33300,NEW YORK,GREENE,"1,232.42","1,232.42","1,232.42","11,414.68"
33310,NEW YORK,HAMILTON,"1,236.11","1,236.11","1,236.11","11,414.68"
33320,NEW YORK,HERKIMER,"1,312.09","1,293.99","1,251.76","11,414.68"
33330,NEW YORK,JEFFERSON,"1,242.51","1,242.51","1,242.51","11,414.68"
33331,NEW YORK,KINGS,"1,389.82","1,368.97","1,320.33","11,414.68"
33340,NEW YORK,LEWIS,"1,237.85","1,237.85","1,237.85","11,414.68"
33350,NEW YORK,LIVINGSTON,"1,328.04","1,328.04","1,256.24","11,414.68"
33360,NEW YORK,MADISON,"1,310.64","1,292.57","1,250.38","11,414.68"
33370,NEW YORK,MONROE,"1,315.51","1,315.51","1,252.07","11,414.68"
33380,NEW YORK,MONTGOMERY,"1,368.25","1,368.25","1,311.69","11,414.68"
33400,NEW YORK,NASSAU,"1,439.33","1,417.74","1,367.36","11,414.68"
33420,NEW YORK,NEW YORK,"1,392.62","1,371.73","1,322.99","11,414.68"
33500,NEW YORK,NIAGARA,"1,347.95","1,315.60","1,240.11","11,414.68"
33510,NEW YORK,ONEIDA,"1,354.94","1,337.46","1,296.66","11,414.68"
33520,NEW YORK,ONONDAGA,"1,303.00","1,285.03","1,243.09","11,414.68"
33530,NEW YORK,ONTARIO,"1,355.36","1,332.48","1,256.03","11,414.68"
33540,NEW YORK,ORANGE,"1,292.41","1,273.02","1,227.79","11,414.68"
33550,NEW YORK,ORLEANS,"1,335.98","1,319.32","1,241.22","11,414.68"
33560,NEW YORK,OSWEGO,"1,318.52","1,299.68","1,255.73","11,414.68"
33570,NEW YORK,OTSEGO,"1,288.65","1,288.65","1,280.42","11,414.68"
33580,NEW YORK,PUTNAM,"1,333.30","1,313.30","1,266.64","11,414.68"
33590,NEW YORK,QUEENS,"1,366.13","1,345.64","1,297.82","11,414.68"
33600,NEW YORK,RENSSELAER,"1,365.54","1,361.64","1,281.03","11,414.68"
33610,NEW YORK,RICHMOND,"1,385.04","1,364.26","1,315.79","11,414.68"
33620,NEW YORK,ROCKLAND,"1,382.00","1,361.27","1,312.90","11,414.68"
33630,NEW YORK,ST. LAWRENCE,"1,241.91","1,241.91","1,241.91","11,414.68"
33640,NEW YORK,SARATOGA,"1,373.64","1,357.50","1,277.14","11,414.68"
33650,NEW YORK,SCHENECTADY,"1,366.13","1,336.05","1,256.96","11,414.68"
33660,NEW YORK,SCHOHARIE,"1,277.27","1,259.65","1,218.54","11,414.68"
33670,NEW YORK,SCHUYLER,"1,224.83","1,224.83","1,224.83","11,414.68"
33680,NEW YORK,SENECA,"1,223.81","1,223.81","1,223.81","11,414.68"
33690,NEW YORK,STEUBEN,"1,220.73","1,220.73","1,220.73","11,414.68"
33700,NEW YORK,SUFFOLK,"1,485.44","1,463.16","1,411.17","11,414.68"
33710,NEW YORK,SULLIVAN,"1,278.12","1,278.12","1,252.42","11,414.68"
33720,NEW YORK,TIOGA,"1,342.87","1,326.09","1,286.92","11,414.68"
33730,NEW YORK,TOMPKINS,"1,242.68","1,242.61","1,205.91","11,414.68"
33740,NEW YORK,ULSTER,"1,304.06","1,293.75","1,248.92","11,414.68"
33750,NEW YORK,WARREN,"1,245.14","1,245.14","1,245.14","11,414.68"
33760,NEW YORK,WASHINGTON,"1,242.89","1,242.89","1,242.89","11,414.68"
33770,NEW YORK,WAYNE,"1,351.60","1,347.55","1,267.78","11,414.68"
33800,NEW YORK,WESTCHESTER,"1,372.85","1,352.26","1,304.21","11,414.68"
33900,NEW YORK,WYOMING,"1,221.76","1,221.76","1,221.76","11,414.68"
33910,NEW YORK,YATES,"1,218.20","1,218.20","1,218.20","11,414.68"
34000,NORTH CAROLINA,ALAMANCE,"1,290.31","1,259.35","1,187.09","8,729.35"
34010,NORTH CAROLINA,ALEXANDER,"1,249.63","1,234.01","1,197.56","8,729.35"
34020,NORTH CAROLINA,ALLEGHANY,"1,235.66","1,224.35","1,188.19","8,729.35"
34030,NORTH CAROLINA,ANSON,"1,223.71","1,206.23","1,165.44","8,729.35"
34040,NORTH CAROLINA,ASHE,"1,235.64","1,220.19","1,184.16","8,729.35"
34050,NORTH CAROLINA,AVERY,"1,242.54","1,240.60","1,201.48","8,729.35"
34060,NORTH CAROLINA,BEAUFORT,"1,230.73","1,225.78","1,189.57","8,729.35"
34070,NORTH CAROLINA,BERTIE,"1,183.89","1,183.89","1,175.18","8,729.35"
34080,NORTH CAROLINA,BLADEN,"1,290.54","1,276.38","1,236.13","8,729.35"
34090,NORTH CAROLINA,BRUNSWICK,"1,274.92","1,257.92","1,218.25","8,729.35"
34100,NORTH CAROLINA,BUNCOMBE,"1,275.74","1,259.80","1,222.59","8,729.35"
34110,NORTH CAROLINA,BURKE,"1,241.15","1,225.63","1,189.43","8,729.35"
34120,NORTH CAROLINA,CABARRUS,"1,215.51","1,198.74","1,159.62","8,729.35"
34130,NORTH CAROLINA,CALDWELL,"1,328.93","1,312.32","1,273.56","8,729.35"
34140,NORTH CAROLINA,CAMDEN,"1,216.82","1,200.60","1,162.74","8,729.35"
34150,NORTH CAROLINA,CARTERET,"1,249.80","1,237.50","1,197.12","8,729.35"
34160,NORTH CAROLINA,CASWELL,"1,205.37","1,189.30","1,151.80","8,729.35"
34170,NORTH CAROLINA,CATAWBA,"1,297.14","1,280.93","1,243.09","8,729.35"
34180,NORTH CAROLINA,CHATHAM,"1,242.19","1,212.38","1,142.81","8,729.35"
34190,NORTH CAROLINA,CHEROKEE,"1,211.24","1,196.10","1,160.78","8,729.35"
34200,NORTH CAROLINA,CHOWAN,"1,235.06","1,219.63","1,183.60","8,729.35"
34210,NORTH CAROLINA,CLAY,"1,194.78","1,179.85","1,145.00","8,729.35"
34220,NORTH CAROLINA,CLEVELAND,"1,218.81","1,202.56","1,164.64","8,729.35"
34230,NORTH CAROLINA,COLUMBUS,"1,248.10","1,231.46","1,192.63","8,729.35"
34240,NORTH CAROLINA,CRAVEN,"1,251.53","1,251.53","1,251.53","8,729.35"
34250,NORTH CAROLINA,CUMBERLAND,"1,267.32","1,251.48","1,214.52","8,729.35"
34251,NORTH CAROLINA,CURRITUCK,"1,250.50","1,234.37","1,196.72","8,729.35"
34270,NORTH CAROLINA,DARE,"1,242.93","1,227.78","1,191.52","8,729.35"
34280,NORTH CAROLINA,DAVIDSON,"1,298.31","1,266.19","1,191.23","8,729.35"
34290,NORTH CAROLINA,DAVIE,"1,334.27","1,301.26","1,224.23","8,729.35"
34300,NORTH CAROLINA,DUPLIN,"1,243.05","1,243.05","1,219.59","8,729.35"
34310,NORTH CAROLINA,DURHAM,"1,267.31","1,251.47","1,214.50","8,729.35"
34320,NORTH CAROLINA,EDGECOMBE,"1,239.92","1,239.92","1,204.92","8,729.35"
34330,NORTH CAROLINA,FORSYTH,"1,313.58","1,282.05","1,208.49","8,729.35"
34340,NORTH CAROLINA,FRANKLIN,"1,226.41","1,210.06","1,171.90","8,729.35"
34350,NORTH CAROLINA,GASTON,"1,233.16","1,216.72","1,178.35","8,729.35"
34360,NORTH CAROLINA,GATES,"1,244.07","1,227.48","1,188.78","8,729.35"
34370,NORTH CAROLINA,GRAHAM,"1,249.62","1,249.62","1,215.20","8,729.35"
34380,NORTH CAROLINA,GRANVILLE,"1,206.28","1,191.20","1,156.01","8,729.35"
34390,NORTH CAROLINA,GREENE,"1,212.38","1,197.23","1,161.87","8,729.35"
34400,NORTH CAROLINA,GUILFORD,"1,258.21","1,228.02","1,157.56","8,729.35"
34410,NORTH CAROLINA,HALIFAX,"1,241.94","1,241.94","1,237.58","8,729.35"
34420,NORTH CAROLINA,HARNETT,"1,225.65","1,208.74","1,169.29","8,729.35"
34430,NORTH CAROLINA,HAYWOOD,"1,338.48","1,304.30","1,224.56","8,729.35"
34440,NORTH CAROLINA,HENDERSON,"1,246.17","1,229.56","1,190.79","8,729.35"
34450,NORTH CAROLINA,HERTFORD,"1,240.92","1,240.92","1,205.82","8,729.35"
34460,NORTH CAROLINA,HOKE,"1,228.19","1,198.71","1,129.93","8,729.35"
34470,NORTH CAROLINA,HYDE,"1,224.60","1,209.29","1,173.58","8,729.35"
34480,NORTH CAROLINA,IREDELL,"1,244.81","1,228.74","1,191.27","8,729.35"
34490,NORTH CAROLINA,JACKSON,"1,254.27","1,254.27","1,241.03","8,729.35"
34500,NORTH CAROLINA,JOHNSTON,"1,240.63","1,224.09","1,185.49","8,729.35"
34510,NORTH CAROLINA,JONES,"1,249.65","1,249.65","1,229.60","8,729.35"
34520,NORTH CAROLINA,LEE,"1,239.61","1,232.53","1,196.13","8,729.35"
34530,NORTH CAROLINA,LENOIR,"1,244.53","1,244.53","1,211.27","8,729.35"
