Medicare Advantage Monthly Capitation Rates for 2026 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2026 Rate,Parts A&B 3.5% Bonus 2026 Rate,Parts A&B 0% Bonus 2026 Rate,Parts A&B ESRD 2026 Rate
02220,ALASKA,SITKA,"1,926.74","1,897.84","1,830.40","9,751.28"
02230,ALASKA,SKAGWAY,"1,477.03","1,454.87","1,403.18","9,751.28"
02240,ALASKA,SOUTHEAST FAIRBANKS,"1,293.77","1,274.36","1,229.08","9,751.28"
02270,ALASKA,WADE HAMPTON (KUSILVAK),"1,404.81","1,383.74","1,334.57","9,751.28"
02275,ALASKA,WRANGELL,"1,836.21","1,808.67","1,744.40","9,751.28"
02282,ALASKA,YAKUTAT,"1,477.03","1,454.87","1,403.18","9,751.28"
02290,ALASKA,YUKON-KOYUKUK,"1,300.51","1,281.00","1,235.48","9,751.28"
03000,ARIZONA,APACHE,"1,349.35","1,329.11","1,281.88","9,718.85"
03010,ARIZONA,COCHISE,"1,237.29","1,237.29","1,224.36","9,718.85"
03020,ARIZONA,COCONINO,"1,298.73","1,279.25","1,233.79","9,718.85"
03030,ARIZONA,GILA,"1,356.45","1,338.36","1,296.16","9,718.85"
03040,ARIZONA,GRAHAM,"1,247.46","1,247.46","1,216.12","9,718.85"
03050,ARIZONA,GREENLEE,"1,165.24","1,148.59","1,109.75","9,718.85"
03055,ARIZONA,LA PAZ,"1,322.41","1,303.06","1,257.91","9,718.85"
03060,ARIZONA,MARICOPA,"1,325.50","1,306.56","1,262.38","9,718.85"
03070,ARIZONA,MOHAVE,"1,317.72","1,300.15","1,259.16","9,718.85"
03080,ARIZONA,NAVAJO,"1,319.95","1,319.95","1,278.71","9,718.85"
03090,ARIZONA,PIMA,"1,370.33","1,370.33","1,299.20","9,718.85"
03100,ARIZONA,PINAL,"1,326.99","1,308.03","1,263.80","9,718.85"
03110,ARIZONA,SANTA CRUZ,"1,142.95","1,128.67","1,095.33","9,718.85"
03120,ARIZONA,YAVAPAI,"1,265.03","1,265.03","1,231.99","9,718.85"
03130,ARIZONA,YUMA,"1,251.24","1,233.37","1,191.66","9,718.85"
04000,ARKANSAS,ARKANSAS,"1,250.23","1,250.23","1,241.64","8,814.02"
04010,ARKANSAS,ASHLEY,"1,291.83","1,291.83","1,277.87","8,814.02"
04020,ARKANSAS,BAXTER,"1,248.62","1,231.97","1,193.12","8,814.02"
04030,ARKANSAS,BENTON,"1,366.80","1,334.00","1,257.46","8,814.02"
04040,ARKANSAS,BOONE,"1,243.09","1,227.55","1,191.30","8,814.02"
04050,ARKANSAS,BRADLEY,"1,301.95","1,283.35","1,239.95","8,814.02"
04060,ARKANSAS,CALHOUN,"1,360.66","1,360.66","1,360.66","8,814.02"
04070,ARKANSAS,CARROLL,"1,256.36","1,240.66","1,204.02","8,814.02"
04080,ARKANSAS,CHICOT,"1,362.35","1,341.91","1,294.23","8,814.02"
04090,ARKANSAS,CLARK,"1,255.29","1,255.29","1,223.35","8,814.02"
04100,ARKANSAS,CLAY,"1,350.02","1,329.77","1,282.52","8,814.02"
04110,ARKANSAS,CLEBURNE,"1,246.86","1,246.86","1,245.20","8,814.02"
04120,ARKANSAS,CLEVELAND,"1,304.80","1,285.23","1,239.56","8,814.02"
04130,ARKANSAS,COLUMBIA,"1,249.48","1,249.48","1,249.48","8,814.02"
04140,ARKANSAS,CONWAY,"1,255.77","1,255.77","1,237.83","8,814.02"
04150,ARKANSAS,CRAIGHEAD,"1,252.65","1,252.65","1,221.75","8,814.02"
