Medicare Advantage Monthly Capitation Rates for 2026 for All PACE Plans,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.",,,,
Code,State,County Name,Parts A&B 2026 Rate,Parts A&B ESRD 2026 Rate
16960,IOWA,WOODBURY,"1,263.49","8,643.03"
16970,IOWA,WORTH,"1,263.49","8,643.03"
16980,IOWA,WRIGHT,"1,424.54","8,643.03"
17000,KANSAS,ALLEN,"1,398.68","9,037.24"
17010,KANSAS,ANDERSON,"1,633.21","9,037.24"
17020,KANSAS,ATCHISON,"1,341.55","9,037.24"
17030,KANSAS,BARBER,"1,962.95","9,037.24"
17040,KANSAS,BARTON,"1,485.55","9,037.24"
17050,KANSAS,BOURBON,"1,410.80","9,037.24"
17060,KANSAS,BROWN,"1,475.38","9,037.24"
17070,KANSAS,BUTLER,"1,396.41","9,037.24"
17080,KANSAS,CHASE,"1,282.64","9,037.24"
17090,KANSAS,CHAUTAUQUA,"1,449.70","9,037.24"
17100,KANSAS,CHEROKEE,"1,281.67","9,037.24"
17110,KANSAS,CHEYENNE,"2,087.64","9,037.24"
17120,KANSAS,CLARK,"1,942.60","9,037.24"
17130,KANSAS,CLAY,"1,436.55","9,037.24"
17140,KANSAS,CLOUD,"1,410.01","9,037.24"
17150,KANSAS,COFFEY,"1,534.54","9,037.24"
17160,KANSAS,COMANCHE,"1,750.65","9,037.24"
17170,KANSAS,COWLEY,"1,263.49","9,037.24"
17180,KANSAS,CRAWFORD,"1,291.56","9,037.24"
17190,KANSAS,DECATUR,"1,846.44","9,037.24"
17200,KANSAS,DICKINSON,"1,360.50","9,037.24"
17210,KANSAS,DONIPHAN,"1,384.24","9,037.24"
17220,KANSAS,DOUGLAS,"1,263.49","9,037.24"
17230,KANSAS,EDWARDS,"1,604.31","9,037.24"
17240,KANSAS,ELK,"1,453.23","9,037.24"
17250,KANSAS,ELLIS,"1,406.94","9,037.24"
17260,KANSAS,ELLSWORTH,"1,683.30","9,037.24"
17270,KANSAS,FINNEY,"1,295.55","9,037.24"
17280,KANSAS,FORD,"1,263.49","9,037.24"
17290,KANSAS,FRANKLIN,"1,396.41","9,037.24"
17300,KANSAS,GEARY,"1,263.49","9,037.24"
17310,KANSAS,GOVE,"1,600.96","9,037.24"
17320,KANSAS,GRAHAM,"1,540.06","9,037.24"
17330,KANSAS,GRANT,"1,677.85","9,037.24"
17340,KANSAS,GRAY,"1,263.49","9,037.24"
17350,KANSAS,GREELEY,"1,577.83","9,037.24"
17360,KANSAS,GREENWOOD,"1,597.98","9,037.24"
17370,KANSAS,HAMILTON,"2,108.40","9,037.24"
17380,KANSAS,HARPER,"1,626.96","9,037.24"
17390,KANSAS,HARVEY,"1,396.41","9,037.24"
17391,KANSAS,HASKELL,"1,658.08","9,037.24"
17410,KANSAS,HODGEMAN,"1,688.11","9,037.24"
17420,KANSAS,JACKSON,"1,337.22","9,037.24"
17430,KANSAS,JEFFERSON,"1,263.49","9,037.24"
17440,KANSAS,JEWELL,"1,828.20","9,037.24"
17450,KANSAS,JOHNSON,"1,396.41","9,037.24"
17451,KANSAS,KEARNY,"1,435.30","9,037.24"
17470,KANSAS,KINGMAN,"1,430.22","9,037.24"
17480,KANSAS,KIOWA,"1,513.77","9,037.24"
17490,KANSAS,LABETTE,"1,263.49","9,037.24"
17500,KANSAS,LANE,"1,916.34","9,037.24"
17510,KANSAS,LEAVENWORTH,"1,325.92","9,037.24"
17520,KANSAS,LINCOLN,"1,959.17","9,037.24"
17530,KANSAS,LINN,"1,494.07","9,037.24"
17540,KANSAS,LOGAN,"1,712.18","9,037.24"
17550,KANSAS,LYON,"1,247.73","9,037.24"
17560,KANSAS,MCPHERSON,"1,263.49","9,037.24"
17570,KANSAS,MARION,"1,328.17","9,037.24"
17580,KANSAS,MARSHALL,"1,362.91","9,037.24"
17590,KANSAS,MEADE,"1,858.44","9,037.24"
17600,KANSAS,MIAMI,"1,554.86","9,037.24"
17610,KANSAS,MITCHELL,"1,367.35","9,037.24"
17620,KANSAS,MONTGOMERY,"1,263.49","9,037.24"
17630,KANSAS,MORRIS,"1,429.70","9,037.24"
17640,KANSAS,MORTON,"1,651.39","9,037.24"
17650,KANSAS,NEMAHA,"1,448.84","9,037.24"
17660,KANSAS,NEOSHO,"1,425.75","9,037.24"
17670,KANSAS,NESS,"1,718.03","9,037.24"
17680,KANSAS,NORTON,"1,602.27","9,037.24"
17690,KANSAS,OSAGE,"1,263.49","9,037.24"
17700,KANSAS,OSBORNE,"1,571.53","9,037.24"
17710,KANSAS,OTTAWA,"1,435.07","9,037.24"
17720,KANSAS,PAWNEE,"1,778.47","9,037.24"
17730,KANSAS,PHILLIPS,"1,697.05","9,037.24"
17740,KANSAS,POTTAWATOMIE,"1,407.96","9,037.24"
17750,KANSAS,PRATT,"1,415.87","9,037.24"
17760,KANSAS,RAWLINS,"1,940.41","9,037.24"
17770,KANSAS,RENO,"1,237.57","9,037.24"
17780,KANSAS,REPUBLIC,"1,632.84","9,037.24"
17790,KANSAS,RICE,"1,534.16","9,037.24"
17800,KANSAS,RILEY,"1,263.49","9,037.24"
17810,KANSAS,ROOKS,"1,384.24","9,037.24"
17820,KANSAS,RUSH,"1,507.02","9,037.24"
17830,KANSAS,RUSSELL,"1,506.19","9,037.24"
17840,KANSAS,SALINE,"1,263.49","9,037.24"
17841,KANSAS,SCOTT,"1,924.49","9,037.24"
17860,KANSAS,SEDGWICK,"1,396.41","9,037.24"
17870,KANSAS,SEWARD,"1,334.58","9,037.24"
17880,KANSAS,SHAWNEE,"1,263.49","9,037.24"
17890,KANSAS,SHERIDAN,"1,592.31","9,037.24"
17900,KANSAS,SHERMAN,"1,766.13","9,037.24"
17910,KANSAS,SMITH,"1,765.88","9,037.24"
17920,KANSAS,STAFFORD,"1,663.11","9,037.24"
17921,KANSAS,STANTON,"1,640.54","9,037.24"
17940,KANSAS,STEVENS,"1,684.19","9,037.24"
17950,KANSAS,SUMNER,"1,396.41","9,037.24"
17960,KANSAS,THOMAS,"1,565.11","9,037.24"
17970,KANSAS,TREGO,"1,963.86","9,037.24"
17980,KANSAS,WABAUNSEE,"1,263.49","9,037.24"
17981,KANSAS,WALLACE,"1,701.89","9,037.24"
17982,KANSAS,WASHINGTON,"1,484.29","9,037.24"
17983,KANSAS,WICHITA,"2,008.51","9,037.24"
17984,KANSAS,WILSON,"1,303.46","9,037.24"
17985,KANSAS,WOODSON,"1,621.49","9,037.24"
17986,KANSAS,WYANDOTTE,"1,417.61","9,037.24"
18000,KENTUCKY,ADAIR,"1,430.31","9,287.33"
18010,KENTUCKY,ALLEN,"1,252.97","9,287.33"
18020,KENTUCKY,ANDERSON,"1,263.49","9,287.33"
18030,KENTUCKY,BALLARD,"1,263.49","9,287.33"
18040,KENTUCKY,BARREN,"1,263.49","9,287.33"
18050,KENTUCKY,BATH,"1,263.49","9,287.33"
18060,KENTUCKY,BELL,"1,233.83","9,287.33"
18070,KENTUCKY,BOONE,"1,396.41","9,287.33"
18080,KENTUCKY,BOURBON,"1,396.41","9,287.33"
18090,KENTUCKY,BOYD,"1,396.41","9,287.33"
18100,KENTUCKY,BOYLE,"1,263.49","9,287.33"
18110,KENTUCKY,BRACKEN,"1,396.41","9,287.33"
18120,KENTUCKY,BREATHITT,"1,263.49","9,287.33"
18130,KENTUCKY,BRECKINRIDGE,"1,263.49","9,287.33"
18140,KENTUCKY,BULLITT,"1,396.41","9,287.33"
18150,KENTUCKY,BUTLER,"1,282.32","9,287.33"
18160,KENTUCKY,CALDWELL,"1,311.94","9,287.33"
18170,KENTUCKY,CALLOWAY,"1,263.49","9,287.33"
18180,KENTUCKY,CAMPBELL,"1,396.41","9,287.33"
18190,KENTUCKY,CARLISLE,"1,263.49","9,287.33"
18191,KENTUCKY,CARROLL,"1,408.15","9,287.33"
18210,KENTUCKY,CARTER,"1,396.41","9,287.33"
18220,KENTUCKY,CASEY,"1,543.45","9,287.33"
18230,KENTUCKY,CHRISTIAN,"1,263.49","9,287.33"
18240,KENTUCKY,CLARK,"1,396.41","9,287.33"
18250,KENTUCKY,CLAY,"1,280.97","9,287.33"
18260,KENTUCKY,CLINTON,"1,480.02","9,287.33"
18270,KENTUCKY,CRITTENDEN,"1,579.74","9,287.33"
18271,KENTUCKY,CUMBERLAND,"1,605.33","9,287.33"
18290,KENTUCKY,DAVIESS,"1,263.49","9,287.33"
18291,KENTUCKY,EDMONSON,"1,275.25","9,287.33"
18310,KENTUCKY,ELLIOTT,"1,263.49","9,287.33"
18320,KENTUCKY,ESTILL,"1,263.49","9,287.33"
18330,KENTUCKY,FAYETTE,"1,396.41","9,287.33"
18340,KENTUCKY,FLEMING,"1,263.49","9,287.33"
18350,KENTUCKY,FLOYD,"1,328.85","9,287.33"
18360,KENTUCKY,FRANKLIN,"1,455.50","9,287.33"
18361,KENTUCKY,FULTON,"1,216.31","9,287.33"
18362,KENTUCKY,GALLATIN,"1,440.62","9,287.33"
18390,KENTUCKY,GARRARD,"1,263.49","9,287.33"
18400,KENTUCKY,GRANT,"1,396.41","9,287.33"
18410,KENTUCKY,GRAVES,"1,263.49","9,287.33"
18420,KENTUCKY,GRAYSON,"1,263.49","9,287.33"
18421,KENTUCKY,GREEN,"1,418.48","9,287.33"
18440,KENTUCKY,GREENUP,"1,396.41","9,287.33"
18450,KENTUCKY,HANCOCK,"1,263.49","9,287.33"
18460,KENTUCKY,HARDIN,"1,263.49","9,287.33"
18470,KENTUCKY,HARLAN,"1,159.69","9,287.33"
18480,KENTUCKY,HARRISON,"1,263.49","9,287.33"
18490,KENTUCKY,HART,"1,260.84","9,287.33"
18500,KENTUCKY,HENDERSON,"1,396.41","9,287.33"
18510,KENTUCKY,HENRY,"1,396.41","9,287.33"
18511,KENTUCKY,HICKMAN,"1,281.70","9,287.33"
18530,KENTUCKY,HOPKINS,"1,263.49","9,287.33"
18540,KENTUCKY,JACKSON,"1,263.49","9,287.33"
18550,KENTUCKY,JEFFERSON,"1,396.41","9,287.33"
18560,KENTUCKY,JESSAMINE,"1,396.41","9,287.33"
18570,KENTUCKY,JOHNSON,"1,229.10","9,287.33"
18580,KENTUCKY,KENTON,"1,396.41","9,287.33"
18590,KENTUCKY,KNOTT,"1,272.53","9,287.33"
18600,KENTUCKY,KNOX,"1,263.49","9,287.33"
18610,KENTUCKY,LARUE,"1,263.49","9,287.33"
18620,KENTUCKY,LAUREL,"1,263.49","9,287.33"
18630,KENTUCKY,LAWRENCE,"1,263.49","9,287.33"
18640,KENTUCKY,LEE,"1,263.49","9,287.33"
18650,KENTUCKY,LESLIE,"1,221.29","9,287.33"
18660,KENTUCKY,LETCHER,"1,320.06","9,287.33"
18670,KENTUCKY,LEWIS,"1,263.49","9,287.33"
18680,KENTUCKY,LINCOLN,"1,263.49","9,287.33"
18690,KENTUCKY,LIVINGSTON,"1,372.96","9,287.33"
18700,KENTUCKY,LOGAN,"1,266.78","9,287.33"
18710,KENTUCKY,LYON,"1,301.66","9,287.33"
18720,KENTUCKY,MCCRACKEN,"1,268.59","9,287.33"
18730,KENTUCKY,MCCREARY,"1,263.49","9,287.33"
18740,KENTUCKY,MCLEAN,"1,263.49","9,287.33"
18750,KENTUCKY,MADISON,"1,396.41","9,287.33"
18760,KENTUCKY,MAGOFFIN,"1,300.18","9,287.33"
18770,KENTUCKY,MARION,"1,263.49","9,287.33"
18780,KENTUCKY,MARSHALL,"1,263.49","9,287.33"
18790,KENTUCKY,MARTIN,"1,223.16","9,287.33"
18800,KENTUCKY,MASON,"1,263.49","9,287.33"
18801,KENTUCKY,MEADE,"1,413.80","9,287.33"
18802,KENTUCKY,MENIFEE,"1,263.49","9,287.33"
18830,KENTUCKY,MERCER,"1,298.63","9,287.33"
18831,KENTUCKY,METCALFE,"1,263.49","9,287.33"
18850,KENTUCKY,MONROE,"1,457.81","9,287.33"
18860,KENTUCKY,MONTGOMERY,"1,263.49","9,287.33"
18861,KENTUCKY,MORGAN,"1,247.50","9,287.33"
18880,KENTUCKY,MUHLENBERG,"1,263.49","9,287.33"
18890,KENTUCKY,NELSON,"1,396.41","9,287.33"
18900,KENTUCKY,NICHOLAS,"1,274.16","9,287.33"
18910,KENTUCKY,OHIO,"1,263.49","9,287.33"
18920,KENTUCKY,OLDHAM,"1,396.41","9,287.33"
18930,KENTUCKY,OWEN,"1,529.96","9,287.33"
18931,KENTUCKY,OWSLEY,"1,242.47","9,287.33"
18932,KENTUCKY,PENDLETON,"1,396.41","9,287.33"
18960,KENTUCKY,PERRY,"1,299.58","9,287.33"
18970,KENTUCKY,PIKE,"1,255.68","9,287.33"
18971,KENTUCKY,POWELL,"1,263.49","9,287.33"
18972,KENTUCKY,PULASKI,"1,263.49","9,287.33"
18973,KENTUCKY,ROBERTSON,"1,263.49","9,287.33"
18974,KENTUCKY,ROCKCASTLE,"1,263.49","9,287.33"
18975,KENTUCKY,ROWAN,"1,263.49","9,287.33"
18976,KENTUCKY,RUSSELL,"1,240.20","9,287.33"
18977,KENTUCKY,SCOTT,"1,396.41","9,287.33"
18978,KENTUCKY,SHELBY,"1,396.41","9,287.33"
18979,KENTUCKY,SIMPSON,"1,304.91","9,287.33"
18980,KENTUCKY,SPENCER,"1,396.41","9,287.33"
18981,KENTUCKY,TAYLOR,"1,263.49","9,287.33"
18982,KENTUCKY,TODD,"1,263.49","9,287.33"
18983,KENTUCKY,TRIGG,"1,298.48","9,287.33"
18984,KENTUCKY,TRIMBLE,"1,396.41","9,287.33"
18985,KENTUCKY,UNION,"1,323.96","9,287.33"
18986,KENTUCKY,WARREN,"1,252.16","9,287.33"
18987,KENTUCKY,WASHINGTON,"1,263.49","9,287.33"
18988,KENTUCKY,WAYNE,"1,263.49","9,287.33"
18989,KENTUCKY,WEBSTER,"1,396.41","9,287.33"
18990,KENTUCKY,WHITLEY,"1,226.20","9,287.33"
18991,KENTUCKY,WOLFE,"1,149.37","9,287.33"
18992,KENTUCKY,WOODFORD,"1,396.41","9,287.33"
19000,LOUISIANA,ACADIA,"1,287.43","9,311.86"
19010,LOUISIANA,ALLEN,"1,760.11","9,311.86"
19020,LOUISIANA,ASCENSION,"2,205.25","9,311.86"
19030,LOUISIANA,ASSUMPTION,"1,704.20","9,311.86"
19040,LOUISIANA,AVOYELLES,"1,790.69","9,311.86"
19050,LOUISIANA,BEAUREGARD,"1,420.37","9,311.86"
19060,LOUISIANA,BIENVILLE,"1,613.04","9,311.86"
19070,LOUISIANA,BOSSIER,"1,617.57","9,311.86"
19080,LOUISIANA,CADDO,"1,511.15","9,311.86"
19090,LOUISIANA,CALCASIEU,"1,561.39","9,311.86"
19100,LOUISIANA,CALDWELL,"2,177.95","9,311.86"
19110,LOUISIANA,CAMERON,"1,748.09","9,311.86"
19120,LOUISIANA,CATAHOULA,"1,690.77","9,311.86"
19130,LOUISIANA,CLAIBORNE,"1,628.00","9,311.86"
19140,LOUISIANA,CONCORDIA,"1,602.29","9,311.86"
19150,LOUISIANA,DE SOTO,"1,668.18","9,311.86"
19160,LOUISIANA,EAST BATON ROUGE,"1,683.66","9,311.86"
19170,LOUISIANA,EAST CARROLL,"1,907.15","9,311.86"
19180,LOUISIANA,EAST FELICIANA,"1,894.55","9,311.86"
19190,LOUISIANA,EVANGELINE,"1,653.63","9,311.86"
19200,LOUISIANA,FRANKLIN,"1,689.63","9,311.86"
19210,LOUISIANA,GRANT,"1,664.76","9,311.86"
19220,LOUISIANA,IBERIA,"1,351.03","9,311.86"
19230,LOUISIANA,IBERVILLE,"1,951.99","9,311.86"
19240,LOUISIANA,JACKSON,"1,694.17","9,311.86"
19250,LOUISIANA,JEFFERSON,"1,665.33","9,311.86"
19260,LOUISIANA,JEFFERSON DAVIS,"1,372.56","9,311.86"
19270,LOUISIANA,LAFAYETTE,"1,546.80","9,311.86"
19280,LOUISIANA,LAFOURCHE,"1,382.21","9,311.86"
19290,LOUISIANA,LA SALLE (LASALLE),"1,887.15","9,311.86"
19300,LOUISIANA,LINCOLN,"1,593.55","9,311.86"
19310,LOUISIANA,LIVINGSTON,"1,657.22","9,311.86"
19320,LOUISIANA,MADISON,"2,106.14","9,311.86"
19330,LOUISIANA,MOREHOUSE,"1,892.98","9,311.86"
19340,LOUISIANA,NATCHITOCHES,"1,575.80","9,311.86"
19350,LOUISIANA,ORLEANS,"2,010.18","9,311.86"
19360,LOUISIANA,OUACHITA,"1,736.57","9,311.86"
19370,LOUISIANA,PLAQUEMINES,"1,855.01","9,311.86"
19380,LOUISIANA,POINTE COUPEE,"1,697.53","9,311.86"
19390,LOUISIANA,RAPIDES,"1,613.59","9,311.86"
19400,LOUISIANA,RED RIVER,"1,740.76","9,311.86"
19410,LOUISIANA,RICHLAND,"1,821.25","9,311.86"
19420,LOUISIANA,SABINE,"1,448.68","9,311.86"
19430,LOUISIANA,ST. BERNARD,"2,279.61","9,311.86"
19440,LOUISIANA,ST. CHARLES,"1,613.91","9,311.86"
19450,LOUISIANA,ST. HELENA,"1,605.44","9,311.86"
19460,LOUISIANA,ST. JAMES,"2,005.48","9,311.86"
19470,LOUISIANA,ST. JOHN THE BAPTIST,"2,076.13","9,311.86"
19480,LOUISIANA,ST. LANDRY,"1,617.95","9,311.86"
19490,LOUISIANA,ST. MARTIN,"1,435.41","9,311.86"
19500,LOUISIANA,ST. MARY,"1,703.66","9,311.86"
19510,LOUISIANA,ST. TAMMANY,"1,704.82","9,311.86"
19520,LOUISIANA,TANGIPAHOA,"1,692.91","9,311.86"
19530,LOUISIANA,TENSAS,"1,886.12","9,311.86"
19540,LOUISIANA,TERREBONNE,"1,313.47","9,311.86"
19550,LOUISIANA,UNION,"1,885.99","9,311.86"
19560,LOUISIANA,VERMILION,"1,470.04","9,311.86"
19570,LOUISIANA,VERNON,"1,708.02","9,311.86"
19580,LOUISIANA,WASHINGTON,"1,924.42","9,311.86"
19590,LOUISIANA,WEBSTER,"1,780.82","9,311.86"
19600,LOUISIANA,WEST BATON ROUGE,"1,929.35","9,311.86"
19610,LOUISIANA,WEST CARROLL,"1,776.26","9,311.86"
19620,LOUISIANA,WEST FELICIANA,"1,789.11","9,311.86"
19630,LOUISIANA,WINN,"1,974.77","9,311.86"
20000,MAINE,ANDROSCOGGIN,"1,263.49","8,761.09"
20010,MAINE,AROOSTOOK,"1,263.49","8,761.09"
20020,MAINE,CUMBERLAND,"1,396.41","8,761.09"
20030,MAINE,FRANKLIN,"1,263.49","8,761.09"
20040,MAINE,HANCOCK,"1,339.85","8,761.09"
20050,MAINE,KENNEBEC,"1,263.49","8,761.09"
20060,MAINE,KNOX,"1,263.49","8,761.09"
20070,MAINE,LINCOLN,"1,330.74","8,761.09"
20080,MAINE,OXFORD,"1,263.49","8,761.09"
20090,MAINE,PENOBSCOT,"1,263.49","8,761.09"
20100,MAINE,PISCATAQUIS,"1,338.02","8,761.09"
20110,MAINE,SAGADAHOC,"1,396.41","8,761.09"
20120,MAINE,SOMERSET,"1,297.70","8,761.09"
20130,MAINE,WALDO,"1,263.88","8,761.09"
20140,MAINE,WASHINGTON,"1,263.49","8,761.09"
20150,MAINE,YORK,"1,396.41","8,761.09"
21000,MARYLAND,ALLEGANY,"1,499.38","11,315.39"
21010,MARYLAND,ANNE ARUNDEL,"1,588.24","11,315.39"
21020,MARYLAND,BALTIMORE,"1,654.69","11,315.39"
21030,MARYLAND,BALTIMORE CITY,"1,784.95","11,315.39"
21040,MARYLAND,CALVERT,"1,415.36","11,315.39"
21050,MARYLAND,CAROLINE,"1,578.66","11,315.39"
21060,MARYLAND,CARROLL,"1,625.30","11,315.39"
21070,MARYLAND,CECIL,"1,547.37","11,315.39"
21080,MARYLAND,CHARLES,"1,636.85","11,315.39"
21090,MARYLAND,DORCHESTER,"1,612.18","11,315.39"
21100,MARYLAND,FREDERICK,"1,472.67","11,315.39"
21110,MARYLAND,GARRETT,"1,216.49","11,315.39"
21120,MARYLAND,HARFORD,"1,623.63","11,315.39"
21130,MARYLAND,HOWARD,"1,480.34","11,315.39"
21140,MARYLAND,KENT,"1,715.60","11,315.39"
21150,MARYLAND,MONTGOMERY,"1,396.41","11,315.39"
21160,MARYLAND,PRINCE GEORGE'S,"1,690.54","11,315.39"
21170,MARYLAND,QUEEN ANNE'S,"1,518.60","11,315.39"
21180,MARYLAND,ST. MARY'S,"1,555.15","11,315.39"
21190,MARYLAND,SOMERSET,"1,451.44","11,315.39"
21200,MARYLAND,TALBOT,"1,631.77","11,315.39"
21210,MARYLAND,WASHINGTON,"1,396.41","11,315.39"
21220,MARYLAND,WICOMICO,"1,449.74","11,315.39"
21230,MARYLAND,WORCESTER,"1,549.29","11,315.39"
22000,MASSACHUSETTS,BARNSTABLE,"1,470.18","11,456.15"
22010,MASSACHUSETTS,BERKSHIRE,"1,390.66","11,456.15"
22020,MASSACHUSETTS,BRISTOL,"1,396.41","11,456.15"
22030,MASSACHUSETTS,DUKES,"1,958.02","11,456.15"
22040,MASSACHUSETTS,ESSEX,"1,481.17","11,456.15"
22060,MASSACHUSETTS,FRANKLIN,"1,509.25","11,456.15"
22070,MASSACHUSETTS,HAMPDEN,"1,396.41","11,456.15"
22080,MASSACHUSETTS,HAMPSHIRE,"1,396.41","11,456.15"
22090,MASSACHUSETTS,MIDDLESEX,"1,564.72","11,456.15"
22120,MASSACHUSETTS,NANTUCKET,"1,731.52","11,456.15"
22130,MASSACHUSETTS,NORFOLK,"1,589.69","11,456.15"
22150,MASSACHUSETTS,PLYMOUTH,"1,515.31","11,456.15"
22160,MASSACHUSETTS,SUFFOLK,"1,685.44","11,456.15"
22170,MASSACHUSETTS,WORCESTER,"1,388.10","11,456.15"
23000,MICHIGAN,ALCONA,"1,263.49","9,666.31"
23010,MICHIGAN,ALGER,"1,362.17","9,666.31"
23020,MICHIGAN,ALLEGAN,"1,396.41","9,666.31"
23030,MICHIGAN,ALPENA,"1,188.91","9,666.31"
23040,MICHIGAN,ANTRIM,"1,272.90","9,666.31"
23050,MICHIGAN,ARENAC,"1,242.63","9,666.31"
23060,MICHIGAN,BARAGA,"1,544.49","9,666.31"
23070,MICHIGAN,BARRY,"1,396.41","9,666.31"
23080,MICHIGAN,BAY,"1,396.41","9,666.31"
23090,MICHIGAN,BENZIE,"1,263.49","9,666.31"
23100,MICHIGAN,BERRIEN,"1,263.49","9,666.31"
23110,MICHIGAN,BRANCH,"1,389.77","9,666.31"
23120,MICHIGAN,CALHOUN,"1,396.41","9,666.31"
23130,MICHIGAN,CASS,"1,396.41","9,666.31"
23140,MICHIGAN,CHARLEVOIX,"1,234.88","9,666.31"
23150,MICHIGAN,CHEBOYGAN,"1,263.49","9,666.31"
23160,MICHIGAN,CHIPPEWA,"1,335.52","9,666.31"
23170,MICHIGAN,CLARE,"1,209.31","9,666.31"
23180,MICHIGAN,CLINTON,"1,396.41","9,666.31"
23190,MICHIGAN,CRAWFORD,"1,322.57","9,666.31"
23200,MICHIGAN,DELTA,"1,263.49","9,666.31"
23210,MICHIGAN,DICKINSON,"1,263.49","9,666.31"
23220,MICHIGAN,EATON,"1,396.41","9,666.31"
23230,MICHIGAN,EMMET,"1,263.49","9,666.31"
23240,MICHIGAN,GENESEE,"1,390.83","9,666.31"
23250,MICHIGAN,GLADWIN,"1,313.19","9,666.31"
23260,MICHIGAN,GOGEBIC,"1,263.49","9,666.31"
23270,MICHIGAN,GRAND TRAVERSE,"1,263.49","9,666.31"
23280,MICHIGAN,GRATIOT,"1,451.26","9,666.31"
23290,MICHIGAN,HILLSDALE,"1,217.83","9,666.31"
23300,MICHIGAN,HOUGHTON,"1,263.49","9,666.31"
23310,MICHIGAN,HURON,"1,352.41","9,666.31"
23320,MICHIGAN,INGHAM,"1,396.41","9,666.31"
23330,MICHIGAN,IONIA,"1,396.41","9,666.31"
23340,MICHIGAN,IOSCO,"1,236.10","9,666.31"
23350,MICHIGAN,IRON,"1,547.21","9,666.31"
23360,MICHIGAN,ISABELLA,"1,136.97","9,666.31"
23370,MICHIGAN,JACKSON,"1,259.64","9,666.31"
23380,MICHIGAN,KALAMAZOO,"1,396.41","9,666.31"
23390,MICHIGAN,KALKASKA,"1,263.49","9,666.31"
23400,MICHIGAN,KENT,"1,396.41","9,666.31"
23410,MICHIGAN,KEWEENAW,"1,436.72","9,666.31"
23420,MICHIGAN,LAKE,"1,263.49","9,666.31"
23430,MICHIGAN,LAPEER,"1,396.41","9,666.31"
23440,MICHIGAN,LEELANAU,"1,263.49","9,666.31"
23450,MICHIGAN,LENAWEE,"1,396.41","9,666.31"
23460,MICHIGAN,LIVINGSTON,"1,396.41","9,666.31"
23470,MICHIGAN,LUCE,"1,498.73","9,666.31"
23480,MICHIGAN,MACKINAC,"1,430.85","9,666.31"
23490,MICHIGAN,MACOMB,"1,393.90","9,666.31"
23500,MICHIGAN,MANISTEE,"1,197.95","9,666.31"
23510,MICHIGAN,MARQUETTE,"1,373.24","9,666.31"
23520,MICHIGAN,MASON,"1,263.49","9,666.31"
23530,MICHIGAN,MECOSTA,"1,263.49","9,666.31"
23540,MICHIGAN,MENOMINEE,"1,263.49","9,666.31"
23550,MICHIGAN,MIDLAND,"1,396.41","9,666.31"
23560,MICHIGAN,MISSAUKEE,"1,263.49","9,666.31"
23570,MICHIGAN,MONROE,"1,396.41","9,666.31"
23580,MICHIGAN,MONTCALM,"1,245.54","9,666.31"
23590,MICHIGAN,MONTMORENCY,"1,283.91","9,666.31"
23600,MICHIGAN,MUSKEGON,"1,396.41","9,666.31"
23610,MICHIGAN,NEWAYGO,"1,396.41","9,666.31"
23620,MICHIGAN,OAKLAND,"1,466.05","9,666.31"
23630,MICHIGAN,OCEANA,"1,263.49","9,666.31"
23640,MICHIGAN,OGEMAW,"1,250.12","9,666.31"
23650,MICHIGAN,ONTONAGON,"1,372.11","9,666.31"
23660,MICHIGAN,OSCEOLA,"1,263.49","9,666.31"
23670,MICHIGAN,OSCODA,"1,256.02","9,666.31"
23680,MICHIGAN,OTSEGO,"1,240.89","9,666.31"
23690,MICHIGAN,OTTAWA,"1,396.41","9,666.31"
23700,MICHIGAN,PRESQUE ISLE,"1,263.49","9,666.31"
23710,MICHIGAN,ROSCOMMON,"1,268.83","9,666.31"
23720,MICHIGAN,SAGINAW,"1,396.41","9,666.31"
23730,MICHIGAN,ST. CLAIR,"1,396.41","9,666.31"
23740,MICHIGAN,ST. JOSEPH,"1,262.55","9,666.31"
23750,MICHIGAN,SANILAC,"1,266.51","9,666.31"
23760,MICHIGAN,SCHOOLCRAFT,"1,369.62","9,666.31"
23770,MICHIGAN,SHIAWASSEE,"1,208.70","9,666.31"
23780,MICHIGAN,TUSCOLA,"1,233.71","9,666.31"
23790,MICHIGAN,VAN BUREN,"1,396.41","9,666.31"
23800,MICHIGAN,WASHTENAW,"1,396.41","9,666.31"
23810,MICHIGAN,WAYNE,"1,495.73","9,666.31"
23830,MICHIGAN,WEXFORD,"1,263.49","9,666.31"
24000,MINNESOTA,AITKIN,"1,373.39","9,476.17"
24010,MINNESOTA,ANOKA,"1,230.10","9,476.17"
24020,MINNESOTA,BECKER,"1,308.94","9,476.17"
24030,MINNESOTA,BELTRAMI,"1,263.49","9,476.17"
24040,MINNESOTA,BENTON,"1,251.90","9,476.17"
24050,MINNESOTA,BIG STONE,"1,718.09","9,476.17"
24060,MINNESOTA,BLUE EARTH,"1,263.49","9,476.17"
24070,MINNESOTA,BROWN,"1,271.65","9,476.17"
24080,MINNESOTA,CARLTON,"1,396.41","9,476.17"
24090,MINNESOTA,CARVER,"1,290.04","9,476.17"
24100,MINNESOTA,CASS,"1,266.92","9,476.17"
24110,MINNESOTA,CHIPPEWA,"1,559.88","9,476.17"
24120,MINNESOTA,CHISAGO,"1,258.49","9,476.17"
24130,MINNESOTA,CLAY,"1,263.49","9,476.17"
