Medicare Advantage Monthly Capitation Rates for 2026 for All PACE Plans,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.",,,,
Code,State,County Name,Parts A&B 2026 Rate,Parts A&B ESRD 2026 Rate
04290,ARKANSAS,HOT SPRING,"1,167.17","8,905.09"
04300,ARKANSAS,HOWARD,"1,363.60","8,905.09"
04310,ARKANSAS,INDEPENDENCE,"1,210.64","8,905.09"
04320,ARKANSAS,IZARD,"1,263.49","8,905.09"
04330,ARKANSAS,JACKSON,"1,441.04","8,905.09"
04340,ARKANSAS,JEFFERSON,"1,263.49","8,905.09"
04350,ARKANSAS,JOHNSON,"1,263.49","8,905.09"
04360,ARKANSAS,LAFAYETTE,"1,341.44","8,905.09"
04370,ARKANSAS,LAWRENCE,"1,241.34","8,905.09"
04380,ARKANSAS,LEE,"1,263.49","8,905.09"
04390,ARKANSAS,LINCOLN,"1,270.74","8,905.09"
04400,ARKANSAS,LITTLE RIVER,"1,447.04","8,905.09"
04410,ARKANSAS,LOGAN,"1,161.22","8,905.09"
04420,ARKANSAS,LONOKE,"1,396.41","8,905.09"
04430,ARKANSAS,MADISON,"1,396.41","8,905.09"
04440,ARKANSAS,MARION,"1,263.49","8,905.09"
04450,ARKANSAS,MILLER,"1,486.22","8,905.09"
04460,ARKANSAS,MISSISSIPPI,"1,263.49","8,905.09"
04470,ARKANSAS,MONROE,"1,263.49","8,905.09"
04480,ARKANSAS,MONTGOMERY,"1,281.25","8,905.09"
04490,ARKANSAS,NEVADA,"1,383.57","8,905.09"
04500,ARKANSAS,NEWTON,"1,263.49","8,905.09"
04510,ARKANSAS,OUACHITA,"1,263.49","8,905.09"
04520,ARKANSAS,PERRY,"1,396.41","8,905.09"
04530,ARKANSAS,PHILLIPS,"1,263.49","8,905.09"
04540,ARKANSAS,PIKE,"1,267.30","8,905.09"
04550,ARKANSAS,POINSETT,"1,270.80","8,905.09"
04560,ARKANSAS,POLK,"1,263.49","8,905.09"
04570,ARKANSAS,POPE,"1,263.49","8,905.09"
04580,ARKANSAS,PRAIRIE,"1,258.05","8,905.09"
04590,ARKANSAS,PULASKI,"1,396.41","8,905.09"
04600,ARKANSAS,RANDOLPH,"1,302.82","8,905.09"
04610,ARKANSAS,ST. FRANCIS,"1,263.49","8,905.09"
04620,ARKANSAS,SALINE,"1,396.41","8,905.09"
04630,ARKANSAS,SCOTT,"1,263.49","8,905.09"
04640,ARKANSAS,SEARCY,"1,263.49","8,905.09"
04650,ARKANSAS,SEBASTIAN,"1,396.41","8,905.09"
04660,ARKANSAS,SEVIER,"1,288.45","8,905.09"
04670,ARKANSAS,SHARP,"1,263.49","8,905.09"
04680,ARKANSAS,STONE,"1,134.94","8,905.09"
04690,ARKANSAS,UNION,"1,263.49","8,905.09"
04700,ARKANSAS,VAN BUREN,"1,263.49","8,905.09"
04710,ARKANSAS,WASHINGTON,"1,396.41","8,905.09"
04720,ARKANSAS,WHITE,"1,285.50","8,905.09"
04730,ARKANSAS,WOODRUFF,"1,536.09","8,905.09"
04740,ARKANSAS,YELL,"1,342.41","8,905.09"
05000,CALIFORNIA,ALAMEDA,"1,650.30","11,675.00"
05010,CALIFORNIA,ALPINE,"2,366.61","11,675.00"
05020,CALIFORNIA,AMADOR,"1,491.82","11,675.00"
05030,CALIFORNIA,BUTTE,"1,483.89","11,675.00"
05040,CALIFORNIA,CALAVERAS,"1,554.83","11,675.00"
05050,CALIFORNIA,COLUSA,"1,351.60","11,675.00"
05060,CALIFORNIA,CONTRA COSTA,"1,722.23","11,675.00"
05070,CALIFORNIA,DEL NORTE,"1,388.58","11,675.00"
05080,CALIFORNIA,EL DORADO,"1,438.44","11,675.00"
05090,CALIFORNIA,FRESNO,"1,396.41","11,675.00"
05100,CALIFORNIA,GLENN,"1,467.60","11,675.00"
05110,CALIFORNIA,HUMBOLDT,"1,335.14","11,675.00"
05120,CALIFORNIA,IMPERIAL,"1,279.77","11,675.00"
05130,CALIFORNIA,INYO,"1,753.01","11,675.00"
05140,CALIFORNIA,KERN,"1,396.41","11,675.00"
05150,CALIFORNIA,KINGS,"1,333.33","11,675.00"
05160,CALIFORNIA,LAKE,"1,648.48","11,675.00"
05170,CALIFORNIA,LASSEN,"1,466.96","11,675.00"
05200,CALIFORNIA,LOS ANGELES,"1,668.37","11,675.00"
05210,CALIFORNIA,LOS ANGELES,"1,668.37","11,675.00"
05300,CALIFORNIA,MADERA,"1,396.41","11,675.00"
05310,CALIFORNIA,MARIN,"1,537.44","11,675.00"
05320,CALIFORNIA,MARIPOSA,"1,485.10","11,675.00"
05330,CALIFORNIA,MENDOCINO,"1,453.35","11,675.00"
05340,CALIFORNIA,MERCED,"1,356.29","11,675.00"
05350,CALIFORNIA,MODOC,"1,546.14","11,675.00"
05360,CALIFORNIA,MONO,"1,695.70","11,675.00"
05370,CALIFORNIA,MONTEREY,"1,529.34","11,675.00"
05380,CALIFORNIA,NAPA,"1,739.90","11,675.00"
05390,CALIFORNIA,NEVADA,"1,366.85","11,675.00"
05400,CALIFORNIA,ORANGE,"1,492.11","11,675.00"
05410,CALIFORNIA,PLACER,"1,375.31","11,675.00"
05420,CALIFORNIA,PLUMAS,"1,598.36","11,675.00"
05430,CALIFORNIA,RIVERSIDE,"1,509.39","11,675.00"
05440,CALIFORNIA,SACRAMENTO,"1,396.41","11,675.00"
05450,CALIFORNIA,SAN BENITO,"1,520.84","11,675.00"
05460,CALIFORNIA,SAN BERNARDINO,"1,497.29","11,675.00"
05470,CALIFORNIA,SAN DIEGO,"1,500.08","11,675.00"
05480,CALIFORNIA,SAN FRANCISCO,"1,559.49","11,675.00"
05490,CALIFORNIA,SAN JOAQUIN,"1,396.41","11,675.00"
05500,CALIFORNIA,SAN LUIS OBISPO,"1,321.85","11,675.00"
05510,CALIFORNIA,SAN MATEO,"1,414.49","11,675.00"
05520,CALIFORNIA,SANTA BARBARA,"1,396.41","11,675.00"
05530,CALIFORNIA,SANTA CLARA,"1,501.73","11,675.00"
05540,CALIFORNIA,SANTA CRUZ,"1,396.41","11,675.00"
05550,CALIFORNIA,SHASTA,"1,690.89","11,675.00"
05560,CALIFORNIA,SIERRA,"1,443.04","11,675.00"
05570,CALIFORNIA,SISKIYOU,"1,430.62","11,675.00"
05580,CALIFORNIA,SOLANO,"1,456.06","11,675.00"
05590,CALIFORNIA,SONOMA,"1,416.93","11,675.00"
05600,CALIFORNIA,STANISLAUS,"1,512.66","11,675.00"
05610,CALIFORNIA,SUTTER,"1,385.86","11,675.00"
05620,CALIFORNIA,TEHAMA,"1,343.24","11,675.00"
05630,CALIFORNIA,TRINITY,"1,529.03","11,675.00"
05640,CALIFORNIA,TULARE,"1,396.41","11,675.00"
05650,CALIFORNIA,TUOLUMNE,"1,482.33","11,675.00"
05660,CALIFORNIA,VENTURA,"1,512.93","11,675.00"
05670,CALIFORNIA,YOLO,"1,396.41","11,675.00"
05680,CALIFORNIA,YUBA,"1,405.21","11,675.00"
06000,COLORADO,ADAMS,"1,367.35","9,041.52"
06010,COLORADO,ALAMOSA,"1,263.49","9,041.52"
06020,COLORADO,ARAPAHOE,"1,396.41","9,041.52"
06030,COLORADO,ARCHULETA,"1,401.71","9,041.52"
06040,COLORADO,BACA,"1,618.65","9,041.52"
06050,COLORADO,BENT,"1,263.49","9,041.52"
06060,COLORADO,BOULDER,"1,396.41","9,041.52"
06070,COLORADO,CHAFFEE,"1,384.50","9,041.52"
06080,COLORADO,CHEYENNE,"1,827.52","9,041.52"
06090,COLORADO,CLEAR CREEK,"1,396.41","9,041.52"
06100,COLORADO,CONEJOS,"1,263.49","9,041.52"
06110,COLORADO,COSTILLA,"1,263.49","9,041.52"
06120,COLORADO,CROWLEY,"1,263.49","9,041.52"
06130,COLORADO,CUSTER,"1,263.49","9,041.52"
06140,COLORADO,DELTA,"1,534.89","9,041.52"
06150,COLORADO,DENVER,"1,466.48","9,041.52"
06160,COLORADO,DOLORES,"1,440.10","9,041.52"
06170,COLORADO,DOUGLAS,"1,396.41","9,041.52"
06180,COLORADO,EAGLE,"1,530.71","9,041.52"
06190,COLORADO,ELBERT,"1,396.41","9,041.52"
06200,COLORADO,EL PASO,"1,396.41","9,041.52"
06210,COLORADO,FREMONT,"1,263.49","9,041.52"
06220,COLORADO,GARFIELD,"1,430.39","9,041.52"
06230,COLORADO,GILPIN,"1,396.41","9,041.52"
06240,COLORADO,GRAND,"1,643.32","9,041.52"
06250,COLORADO,GUNNISON,"1,334.16","9,041.52"
06260,COLORADO,HINSDALE,"1,486.08","9,041.52"
06270,COLORADO,HUERFANO,"1,548.73","9,041.52"
06280,COLORADO,JACKSON,"1,395.65","9,041.52"
06290,COLORADO,JEFFERSON,"1,396.41","9,041.52"
06300,COLORADO,KIOWA,"1,722.19","9,041.52"
06310,COLORADO,KIT CARSON,"1,770.53","9,041.52"
06320,COLORADO,LAKE,"1,741.64","9,041.52"
06330,COLORADO,LA PLATA,"1,263.49","9,041.52"
06340,COLORADO,LARIMER,"1,396.41","9,041.52"
06350,COLORADO,LAS ANIMAS,"1,263.49","9,041.52"
06360,COLORADO,LINCOLN,"1,507.37","9,041.52"
06370,COLORADO,LOGAN,"1,333.63","9,041.52"
06380,COLORADO,MESA,"1,650.60","9,041.52"
06390,COLORADO,MINERAL,"1,490.50","9,041.52"
06400,COLORADO,MOFFAT,"1,660.50","9,041.52"
06410,COLORADO,MONTEZUMA,"1,263.49","9,041.52"
06420,COLORADO,MONTROSE,"1,591.28","9,041.52"
06430,COLORADO,MORGAN,"1,395.75","9,041.52"
06440,COLORADO,OTERO,"1,280.10","9,041.52"
06450,COLORADO,OURAY,"1,663.46","9,041.52"
06460,COLORADO,PARK,"1,396.41","9,041.52"
06470,COLORADO,PHILLIPS,"2,088.83","9,041.52"
06480,COLORADO,PITKIN,"1,987.62","9,041.52"
06490,COLORADO,PROWERS,"1,459.61","9,041.52"
06500,COLORADO,PUEBLO,"1,263.49","9,041.52"
06510,COLORADO,RIO BLANCO,"2,173.80","9,041.52"
06520,COLORADO,RIO GRANDE,"1,259.23","9,041.52"
06530,COLORADO,ROUTT,"1,576.35","9,041.52"
06540,COLORADO,SAGUACHE,"1,332.06","9,041.52"
06550,COLORADO,SAN JUAN,"1,256.47","9,041.52"
